,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
40,Skyfall,Sam Mendes,2012,7.8,547386,304.36,['Columbia Pictures'],,1
41,Captain America: The First Avenger,Joe Johnston,2011,6.9,547368,176.64,"['Paramount Pictures', 'Marvel Studios']",,
42,Captain America: The Winter Soldier,Anthony Russo,2014,7.8,542362,259.75,['Marvel Studios'],,
43,The King's Speech,Tom Hooper,2010,8.0,534388,138.8,"['The Weinstein Company', 'UK Film Council', 'Bedlam Productions', 'See-Saw Films', 'Aegis Film Fund', 'FilmNation Entertainment', 'Momentum Pictures', 'Molinare Investment']",2011,1
44,The Imitation Game,Morten Tyldum,2014,8.1,532353,91.12,"['Black Bear Pictures', 'Bristol Automotive']",,
45,Transformers,Michael Bay,2007,7.1,531112,318.76,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']",,
46,The Grand Budapest Hotel,Wes Anderson,2014,8.1,530881,59.07,"['Fox Searchlight Pictures', 'Scott Rudin Productions', 'Studio Babelsberg', 'Indian Paintbrush', 'TSG Entertainment', 'American Empirical Pictures']",,
47,Star Trek,J.J. Abrams,2009,8.0,526324,257.7,"['Paramount Pictures', 'Spyglass Entertainment', 'Bad Robot', 'MavroCine Pictures GmbH & Co. KG']",,
48,The Bourne Ultimatum,Paul Greengrass,2007,8.1,525700,227.14,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again']",,
49,The Hunger Games: Catching Fire,Francis Lawrence,2013,7.6,525646,424.65,"['Lionsgate', 'Color Force']",,
50,How to Train Your Dragon,Dean DeBlois,2010,8.1,523893,217.39,"['DreamWorks Animation', 'Vertigo Entertainment', 'Mad Hatter Entertainment']",,
51,Avengers: Age of Ultron,Joss Whedon,2015,7.4,516895,458.99,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",,
52,The Hobbit: The Desolation of Smaug,Peter Jackson,2013,7.9,513744,258.36,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",,1
53,The Social Network,David Fincher,2010,7.7,510100,96.92,"['Columbia Pictures', 'Scott Rudin Productions', 'Relativity Media']",,
54,Ratatouille,Brad Bird,2007,8.0,504039,206.44,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
55,Taken,Pierre Morel,2008,7.8,502961,145.0,['DreamWorks SKG'],,
56,Sherlock Holmes,Guy Ritchie,2009,7.6,501769,209.02,"['Village Roadshow Pictures', 'Silver Pictures', 'Warner Bros.', 'Internationale Filmproduktion Blackbird Dritte', 'Wigram Productions']",,
57,The Revenant,Alejandro González Iñárritu,2015,8.0,499424,183.64,"['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'RatPac Entertainment', 'M Productions', 'Monarchy Enterprises S.a.r.l.']",,2
58,Pan's Labyrinth,Guillermo del Toro,2006,8.2,498879,37.62,"['Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang']",,1
59,Pirates of the Caribbean: At World's End,Gore Verbinski,2007,7.1,498821,309.4,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",,
60,Casino Royale,Martin Campbell,2006,8.0,495106,167.01,"['Eon Productions', 'Stillking Films', 'Babelsberg Film']",,
61,World War Z,Marc Forster,2013,7.0,494819,202.35,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",,
62,Ted,Seth MacFarlane,2012,7.0,494641,218.63,"['Universal Pictures', 'Media Rights Capital', 'Fuzzy Door Productions']",,
63,Now You See Me,Louis Leterrier,2013,7.3,492324,117.7,"['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']",,
64,12 Years a Slave,Steve McQueen,2013,8.1,486338,56.67,"['Plan B Entertainment', 'Regency Enterprises', 'River Road Entertainment', 'Film4', 'New Regency Pictures']",2014,
65,Prometheus,Ridley Scott,2012,7.0,485820,126.46,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Scott Free Productions', 'Brandywine Productions']",,
66,The Curious Case of Benjamin Button,David Fincher,2008,7.8,485075,127.49,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",,
67,Argo,Ben Affleck,2012,7.7,481274,136.02,"['GK Films', 'Warner Bros.', 'Smokehouse Pictures']",2013,
68,Whiplash,Damien Chazelle,2014,8.5,477276,13.09,"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",,1
69,The Amazing Spider-Man,Marc Webb,2012,7.0,474320,262.03,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",,
70,Batman v Superman: Dawn of Justice,Zack Snyder,2016,6.7,472307,330.25,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",,
71,Edge of Tomorrow,Doug Liman,2014,7.9,471815,100.19,"['Village Roadshow Pictures', 'Warner Bros.', 'Viz Media', 'Province of British Columbia Production Services Tax Credit', '3 Arts Entertainment', 'RatPac-Dune Entertainment']",,
72,Life of Pi,Ang Lee,2012,7.9,471109,124.98,"['Ingenious Film Partners', 'Ingenious Media', 'Dune Entertainment', 'Fox 2000 Pictures', 'Big Screen Productions', 'Haishang Films']",,2
73,Drive,Nicolas Winding Refn,2011,7.8,461509,35.05,"['Bold Films', 'Marc Platt Productions', 'Odd Lot Entertainment', 'FilmDistrict', 'Motel Movies', 'Newbridge Film Capital']",,
74,Into the Wild,Sean Penn,2007,8.1,459304,18.35,"['Paramount Vantage', 'River Road Entertainment', 'Art Linson Productions', 'Into the Wild']",,
75,Kick-Ass,Matthew Vaughn,2010,7.7,456749,48.04,"['Lionsgate', 'Marv Films']",,
76,Jurassic World,Colin Trevorrow,2015,7.0,455169,652.18,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",,
77,Looper,Rian Johnson,2012,7.4,452369,66.47,"['Endgame Entertainment', 'FilmDistrict', 'DMG Entertainment', 'Ram Bergman Productions']",,
78,Frozen,Chris Buck,2013,7.5,451894,400.74,[],,
79,Limitless,Neil Burger,2011,7.4,444417,79.24,"['Rogue Pictures', 'Relativity Media', 'Virgin Produced', 'Many Rivers Productions', 'Boy of the Year', 'Intermedia']",,
80,Thor: The Dark World,Alan Taylor,2013,7.0,443584,206.36,['Marvel Studios'],,
81,Superbad,Greg Mottola,2007,7.6,442082,121.46,"['Columbia Pictures', 'Apatow Productions']",,
82,Kingsman: The Secret Service,Matthew Vaughn,2014,7.7,440209,128.25,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",,
83,Juno,Jason Reitman,2007,7.5,432461,143.49,"['Fox Searchlight Pictures', 'Mandate Pictures']",,
84,21 Jump Street,Phil Lord,2012,7.2,432046,138.45,"['Columbia Pictures', 'Original Film', 'Stephen J. Cannell Productions', 'Relativity Media', 'Metro-Goldwyn-Mayer (MGM)']",,
85,Prisoners,Denis Villeneuve,2013,8.1,431185,60.96,"['Alcon Entertainment', 'Madhouse Entertainment', '8:38 Productions']",,
86,Rise of the Planet of the Apes,Rupert Wyatt,2011,7.6,422290,176.74,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Dune Entertainment III', 'Chernin Entertainment', 'Big Screen Productions']",,
87,Blood Diamond,Edward Zwick,2006,8.0,422014,57.37,"['Bedford Falls Productions', 'Lonely Film Productions GmbH & Co. KG.', 'Virtual Studios', 'Spring Creek Productions', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'Liberty Pictures']",,
88,Star Trek Into Darkness,J.J. Abrams,2013,7.8,417663,228.76,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",,
89,Inside Out,Pete Docter,2015,8.2,416689,356.45,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
90,Captain America: Civil War,Anthony Russo,2016,7.9,411656,408.08,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",,
91,Despicable Me,Pierre Coffin,2010,7.7,410607,251.5,"['Universal Pictures', 'Illumination Entertainment']",,
92,Watchmen,Zack Snyder,2009,7.6,410249,107.5,"['Paramount Pictures', 'DC Comics', 'Lawrence Gordon Productions', 'Legendary Pictures', 'Warner Bros.', 'Cruel and Unusual Films']",,
93,Oblivion,Joseph Kosinski,2013,7.0,410125,89.02,"['Universal Pictures', 'Chernin Entertainment', 'Relativity Media', 'Monolith Pictures (III)', 'Radical Studios']",,
94,Zombieland,Ruben Fleischer,2009,7.7,409403,75.59,"['Columbia Pictures', 'Relativity Media', 'Pariah']",,
95,X-Men: The Last Stand,Brett Ratner,2006,6.7,406540,234.36,,,
96,Spider-Man 3,Sam Raimi,2007,6.2,406219,336.53,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",,
97,Source Code,Duncan Jones,2011,7.5,404884,54.7,"['The Mark Gordon Company', 'Vendome Pictures']",,
98,There Will Be Blood,Paul Thomas Anderson,2007,8.1,400682,40.22,"['Miramax Films', 'Ghoulardi Film Company', 'Paramount Vantage']",,
99,Pacific Rim,Guillermo del Toro,2013,7.0,400519,101.79,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']",,1
100,(500) Days of Summer,Marc Webb,2009,7.7,398972,32.39,"['Fox Searchlight Pictures', 'Watermark', 'Dune Entertainment III']",,
101,"Crazy, Stupid, Love.",Glenn Ficarra,2011,7.4,396714,84.24,['Warner Bros.'],,
102,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,6.7,395025,241.06,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",,
103,Suicide Squad,David Ayer,2016,6.2,393727,325.02,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",,
104,Her,Spike Jonze,2013,8.0,390531,25.56,"['Warner Bros.', 'Annapurna Pictures']",,
105,X-Men Origins: Wolverine,Gavin Hood,2009,6.7,388447,179.88,,,
106,The Great Gatsby,Baz Luhrmann,2013,7.3,386102,144.81,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",,
107,The Hobbit: The Battle of the Five Armies,Peter Jackson,2014,7.4,385598,255.11,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",,1
108,Harry Potter and the Order of the Phoenix,David Yates,2007,7.5,385325,292.0,"['Warner Bros.', 'Heyday Films']",,
109,Children of Men,Alfonso Cuarón,2006,7.9,382910,35.29,"['Universal Pictures', 'Strike Entertainment', 'Hit & Run Productions']",,2
110,Mission: Impossible - Ghost Protocol,Brad Bird,2011,7.4,382459,209.36,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'TC Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",,
111,American Hustle,David O. Russell,2013,7.3,379088,150.12,"['Columbia Pictures', 'Atlas Entertainment', 'Annapurna Pictures']",,
112,The Perks of Being a Wallflower,Stephen Chbosky,2012,8.0,377336,17.74,"['Summit Entertainment', 'Mr. Mudd Production']",,
113,Little Miss Sunshine,Jonathan Dayton,2006,7.8,374044,59.89,"['Fox Searchlight Pictures', 'Bona Fide Productions', 'Big Beach Films']",,
114,Hot Fuzz,Edgar Wright,2007,7.9,373244,23.62,"['Universal Pictures', 'Big Talk Productions', 'StudioCanal', 'GAGA', 'Working Title Films']",,
115,Ant-Man,Peyton Reed,2015,7.3,368912,180.19,['Marvel Studios'],,
116,Horrible Bosses,Seth Gordon,2011,6.9,368556,117.53,"['New Line Cinema', 'Rat Entertainment']",,
117,Hancock,Peter Berg,2008,6.4,366138,227.95,"['Columbia Pictures', 'Weed Road Pictures', 'Forward Pass', 'Relativity Media', 'Overbrook Entertainment', 'Blue Light', 'GH Three']",,
118,Divergent,Neil Burger,2014,6.7,362093,150.83,"['Summit Entertainment', 'Red Wagon Entertainment']",,
119,Twilight,Catherine Hardwicke,2008,5.2,361449,191.45,"['Paramount Pictures', 'Scott Rudin Productions', 'Cinehaus']",,
120,The Pursuit of Happyness,Gabriele Muccino,2006,8.0,361105,162.59,"['Columbia Pictures Corporation', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",,
121,Elysium,Neill Blomkamp,2013,6.6,358932,,"['TriStar Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'QED International', 'Alpha Core', 'Genre Films', 'Simon Kinberg Productions']",,
122,Sherlock Holmes: A Game of Shadows,Guy Ritchie,2011,7.5,357436,186.83,"['Village Roadshow Pictures', 'Silver Pictures', 'Lin Pictures', 'Warner Bros.', 'Wigram Productions']",,
123,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010,7.7,357213,294.98,"['Warner Bros.', 'Heyday Films']",,
124,Warrior,Gavin O'Connor,2011,8.2,355722,13.65,"['Solaris Film', 'Lionsgate', 'Mimran Schur Pictures', 'Filmtribe']",,
125,The Wolverine,James Mangold,2013,6.7,355362,132.55,,,
126,American Sniper,Clint Eastwood,2014,7.3,353305,350.12,"['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions', '22 & Indiana Pictures']",,2
127,Dallas Buyers Club,Jean-Marc Vallée,2013,8.0,352801,27.3,"['Universal Studios', 'Universal Pictures', 'Voltage Pictures', 'Truth Entertainment']",,
128,Lucy,Luc Besson,2014,6.4,352698,126.55,"['Universal Pictures', 'TF1 Films Production', 'Canal+', 'EuropaCorp', 'Ciné+']",,
129,The Hurt Locker,Kathryn Bigelow,2008,7.6,352023,15.7,"['Summit Entertainment', 'Kingsgate Films', 'Grosvenor Park Media Ltd.', 'Voltage Pictures', 'Film Capital Europe Funds (FCEF )', 'First Light Production']",2010,1
