,Title,Director,Year,Rating,Votes,Revenue,Producer,Oscar Year,Director oscars
176,Cloud Atlas,Tom Tykwer,2012,7.5,298651,27.1,"['Anarchos Productions', 'X-Filme Creative Pool', 'Ascension Pictures', 'ARD Degeto Film', 'Cloud Atlas Productions', 'Five Drops', 'Media Asia Group', 'Dreams of Dragon Picture']",,
177,2012,Roland Emmerich,2009,5.8,297984,166.11,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']",,
178,Moneyball,Bennett Miller,2011,7.6,297395,75.61,"['Columbia Pictures', 'Scott Rudin Productions']",,
179,Terminator Salvation,McG,2009,6.6,297093,125.32,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']",,
180,Zootopia,Byron Howard,2016,8.1,296853,341.26,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,
181,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2007,7.4,296289,52.88,"['Warner Bros.', 'DreamWorks Pictures', 'Tim Burton Productions', 'Zanuck Company, The', 'Parkes+MacDonald Image Nation']",,
182,The Cabin in the Woods,Drew Goddard,2012,7.0,295554,42.04,"['Lionsgate', 'Mutant Enemy Productions']",,
183,Easy A,Will Gluck,2010,7.1,294950,58.4,"['Screen Gems', 'Olive Bridge Entertainment']",,
184,The Town,Ben Affleck,2010,7.6,294553,92.17,"['Legendary Pictures', 'GK Films', 'Thunder Road Pictures', 'Warner Bros.']",,
185,127 Hours,Danny Boyle,2010,7.6,294010,18.33,"['Fox Searchlight Pictures', 'Warner Bros.', 'Cloud Eight Films', 'Pathé', 'Film4', 'Everest Entertainment', 'HandMade Films']",,1
186,Brave,Mark Andrews,2012,7.2,293941,237.28,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
187,Doctor Strange,Scott Derrickson,2016,7.6,293732,232.6,"['Walt Disney Pictures', 'Marvel Studios']",,
188,Scott Pilgrim vs. the World,Edgar Wright,2010,7.5,291457,31.49,"['Universal Pictures', 'Marc Platt Productions']",,
189,Wreck-It Ralph,Rich Moore,2012,7.8,290559,189.41,['Walt Disney Animation Studios'],,
190,The Fighter,David O. Russell,2010,7.8,290056,93.57,['Paramount Pictures'],,
191,Boyhood,Richard Linklater,2014,7.9,286722,25.36,"['IFC Films', 'Detour Filmproduction']",,
192,Friends with Benefits,Will Gluck,2011,6.6,286543,55.8,"['Castle Rock Entertainment', 'Screen Gems', 'Olive Bridge Entertainment']",,
193,Inside Man,Spike Lee,2006,7.6,285441,88.5,"['Imagine Entertainment', 'Universal Pictures', '40 Acres & A Mule Filmworks']",,
194,Cars,John Lasseter,2006,7.1,283445,244.05,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
195,The Expendables,Sylvester Stallone,2010,6.5,283282,102.98,['Millennium Films'],,
196,50/50,Jonathan Levine,2011,7.7,281625,34.96,"['Summit Entertainment', 'Mandate Pictures']",,
197,22 Jump Street,Phil Lord,2014,7.1,280110,191.62,"['Columbia Pictures', 'Original Film', 'Media Rights Capital', 'Metro-Goldwyn-Mayer (MGM)', 'Cannell Studios', 'LStar Capital', '33andOut Productions', 'JHF Productions']",,
198,Up in the Air,Jason Reitman,2009,7.4,279694,83.81,"['Paramount Pictures', 'Rickshaw Productions', 'Cold Spring Pictures', 'Montecito Picture Company, The', 'DW Studios', 'Right of Way Films']",,
199,Men in Black 3,Barry Sonnenfeld,2012,6.8,278379,179.02,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",,
200,The Lives of Others,Florian Henckel von Donnersmarck,2006,8.5,278103,11.28,"['Arte', 'Wiedemann & Berg Filmproduktion', 'Creado Film', 'Bayerischer Rundfunk (BR)']",,
201,Moon,Duncan Jones,2009,7.9,277123,5.01,"['Liberty Films UK', 'Lunar Industries', 'Xingu Films', 'Limelight Fund']",,
202,Flight,Robert Zemeckis,2012,7.3,276347,93.75,"['Paramount Pictures', 'Parkes/MacDonald Productions', 'ImageMovers']",,1
203,X-Men: Apocalypse,Bryan Singer,2016,7.1,275510,155.33,,,
204,Tron,Joseph Kosinski,2010,6.8,273959,172.05,"['Walt Disney Pictures', 'Lisberger/Kushner']",,
205,Lucky Number Slevin,Paul McGuigan,2006,7.8,271940,22.49,"['The Weinstein Company', 'FilmEngine', 'Capitol Films', 'Ascendant Pictures', 'VIP Medienfonds 4', 'The Complex Studio']",,
206,The Fault in Our Stars,Josh Boone,2014,7.8,271301,124.87,"['Fox 2000 Pictures', 'Temple Hill Entertainment', 'TSG Entertainment']",,
207,Mission: Impossible III,J.J. Abrams,2006,6.9,270429,133.38,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Studio Babelsberg', 'MI 3 Film', 'China Film Co-Production Corporation', 'China Film Group Corporation (CFGC)', 'The Fourth Production Company Film Group']",,
208,Ocean's Thirteen,Steven Soderbergh,2007,6.9,269581,117.14,"['Village Roadshow Pictures', 'Section Eight', 'Jerry Weintraub Productions', 'Warner Bros.']",,1
209,Maleficent,Robert Stromberg,2014,7.0,268877,241.41,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']",,
210,Spotlight,Tom McCarthy,2015,8.1,268282,44.99,"['Universal Pictures', 'Participant Media', 'Anonymous Content', 'Rocklin / Faust', 'First Look Media']",2016,
211,Pineapple Express,David Gordon Green,2008,7.0,267872,87.34,"['Columbia Pictures', 'Apatow Productions']",,
212,Shooter,Antoine Fuqua,2007,7.2,267820,46.98,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Grosvenor Park Impact Productions']",,
213,The Lego Movie,Phil Lord,2014,7.8,266508,257.76,"['Village Roadshow Pictures', 'DC Comics', 'Vertigo Entertainment', 'Lin Pictures', 'Warner Bros. Animation', 'LEGO', 'Warner Bros.', 'Animal Logic', 'Warner Animation Group', 'RatPac-Dune Entertainment']",,
214,Real Steel,Shawn Levy,2011,7.1,264480,85.46,"['DreamWorks SKG', '21 Laps Entertainment', 'Reliance Entertainment', 'Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Revolution Sun Studios', 'Kontsept Film Company', 'Wardour Street Pictures']",,
215,The Interview,Evan Goldberg,2014,6.6,261536,6.11,['Pointblank Pictures'],,
216,Hugo,Martin Scorsese,2011,7.5,259182,73.82,"['Paramount Pictures', 'Infinitum Nihil', 'GK Films']",,1
217,La La Land,Damien Chazelle,2016,8.3,258682,151.06,"['Summit Entertainment', 'Marc Platt Productions', 'Gilbert Films', 'Black Label Media', 'Impostor Pictures']",,1
218,Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015,7.4,257472,195.0,"['Paramount Pictures', 'Skydance Productions', 'China Movie Channel', 'Bad Robot', 'TC Productions', 'Alibaba Pictures Group', 'Odin']",,
219,Les Misérables,Tom Hooper,2012,7.6,257426,148.78,"['Universal Pictures', 'Relativity Media', 'CAMERON MACKINTOSH', 'Working Title Films']",,1
220,The Expendables 2,Simon West,2012,6.6,257395,85.02,"['Nu Image Films', 'Millennium Films']",,
221,Salt,Phillip Noyce,2010,6.4,255813,118.31,"['Columbia Pictures', 'Di Bonaventura Pictures', 'Relativity Media', 'Wintergreen Productions']",,
222,Transformers: Age of Extinction,Michael Bay,2014,5.7,255483,245.43,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",,
223,True Grit,Ethan Coen,2010,7.6,254904,171.03,['Paramount Pictures'],,
224,Moonrise Kingdom,Wes Anderson,2012,7.8,254446,45.51,"['Scott Rudin Productions', 'Indian Paintbrush', 'Focus Features', 'American Empirical Pictures', 'Moonrise']",,
225,Deja Vu,Tony Scott,2006,7.0,253858,,,,
226,Babel,Alejandro González Iñárritu,2006,7.5,253417,34.3,"['Paramount Vantage', 'Media Rights Capital', 'Anonymous Content', 'Central Films']",,2
227,Jumper,Doug Liman,2008,6.1,252503,80.17,"['Dune Entertainment', 'Hypnotic', 'New Regency Pictures']",,
228,Monsters University,Dan Scanlon,2013,7.3,252119,268.49,"['Walt Disney Pictures', 'Pixar Animation Studios']",,
229,Jack Reacher,Christopher McQuarrie,2012,7.0,250811,58.68,"['Paramount Pictures', 'Mutual Film Company', 'Skydance Productions', 'TC Productions']",,
230,RED,Robert Schwentke,2010,7.1,250012,90.36,"['DC Comics', 'Di Bonaventura Pictures', 'Summit Entertainment', 'DC Entertainment']",,
231,The Secret Life of Walter Mitty,Ben Stiller,2013,7.3,249877,58.23,"['New Line Cinema', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Samuel Goldwyn Films', 'Big Screen Productions', 'Red Hour Films', 'TSG Entertainment', 'Down Productions']",,
232,The Equalizer,Antoine Fuqua,2014,7.2,249425,101.53,"['Columbia Pictures', 'Village Roadshow Pictures', 'Escape Artists', 'Mace Neufeld Productions', 'LStar Capital', 'Lonetree Entertainment']",,
233,Apocalypto,Mel Gibson,2006,7.8,247926,50.86,"['Icon Productions', 'Icon Entertainment International', 'Touchstone Pictures']",,1
234,Superman Returns,Bryan Singer,2006,6.1,246797,200.07,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",,
235,The Big Short,Adam McKay,2015,7.8,246360,70.24,"['Paramount Pictures', 'Plan B Entertainment', 'Regency Enterprises']",,
236,The Bourne Legacy,Tony Gilroy,2012,6.7,245374,113.17,"['Universal Pictures', 'Dentsu', 'Relativity Media', 'Kennedy/Marshall Company, The', 'Captivate Entertainment']",,
237,Seven Pounds,Gabriele Muccino,2008,7.7,245144,69.95,"['Columbia Pictures', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",,
238,Fifty Shades of Grey,Sam Taylor-Johnson,2015,4.1,244474,166.15,"['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']",,
239,Sicario,Denis Villeneuve,2015,7.6,243230,46.88,"['Lionsgate', 'Thunder Road Pictures', 'Black Label Media']",,
240,The Proposal,Anne Fletcher,2009,6.7,241709,163.95,"['Touchstone Pictures', 'Mandeville Films', 'Kurtzman/Orci']",,
241,The Book of Eli,Albert Hughes,2010,6.9,241359,94.82,"['Alcon Entertainment', 'Silver Pictures']",,
242,Public Enemies,Michael Mann,2009,7.0,240323,97.03,"['Universal Pictures', 'Appian Way', 'Forward Pass', 'Dentsu', 'Relativity Media', 'Tribeca Productions', 'Misher Films']",,
243,Snow White and the Huntsman,Rupert Sanders,2012,6.1,239772,155.11,"['Universal Pictures', 'Roth Films']",,
244,3 Idiots,Rajkumar Hirani,2009,8.4,238789,6.52,['Vidhu Vinod Chopra Productions'],,
245,Clash of the Titans,Louis Leterrier,2010,5.8,238206,163.19,"['Metro-Goldwyn-Mayer (MGM)', 'Peerford Ltd.']",,
246,300: Rise of an Empire,Noam Murro,2014,6.2,237887,106.37,"['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films']",,
247,How to Train Your Dragon 2,Dean DeBlois,2014,7.9,237565,177.0,"['DreamWorks Animation', 'Mad Hatter Entertainment']",,
248,The Blind Side,John Lee Hancock,2009,7.7,237221,255.95,"['Alcon Entertainment', 'Left Tackle Pictures', 'Zucker/Netter Productions']",,
249,Neighbors,Nicholas Stoller,2014,6.4,236500,150.06,['Joseph M. Schenck Productions'],,
250,The Mist,Frank Darabont,2007,7.2,233346,25.59,"['Darkwoods Productions', 'Dimension Films']",,
251,Prince of Persia: The Sands of Time,Mike Newell,2010,6.6,233148,90.76,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",,
252,Fantastic Beasts and Where to Find Them,David Yates,2016,7.5,232072,234.02,"['Heyday films', 'Warner Bros.']",,
253,Green Lantern,Martin Campbell,2011,5.6,231907,116.59,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",,
254,Law Abiding Citizen,F. Gary Gray,2009,7.4,228339,73.34,"['Film Department, The', 'Evil Twins', 'Warp Films']",,
255,Bridesmaids,Paul Feig,2011,6.8,227912,169.08,"['Universal Pictures', 'Relativity Media', 'Apatow Productions']",,
256,Zero Dark Thirty,Kathryn Bigelow,2012,7.4,226661,95.72,"['Columbia Pictures', 'Annapurna Pictures', 'First Light Production']",,1
257,Pitch Perfect,Jason Moore,2012,7.2,226631,65.0,['Brownstone Productions'],,
258,Forgetting Sarah Marshall,Nicholas Stoller,2008,7.2,226619,62.88,"['Universal Pictures', 'Apatow Productions']",,
259,The Dictator,Larry Charles,2012,6.4,225394,59.62,['Paramount Pictures'],,
260,Room,Lenny Abrahamson,2015,8.2,224132,14.68,"['Téléfilm Canada', 'Film 4', 'Element Pictures', 'Irish Film Board', 'FilmNation Entertainment', 'No Trace Camping', 'A24', 'Elevation Pictures']",,
261,Step Brothers,Adam McKay,2008,6.9,223065,100.47,"['Columbia Pictures', 'Mosaic Media Group', 'Gary Sanchez Productions', 'Relativity Media', 'Apatow Productions']",,
262,28 Weeks Later,Juan Carlos Fresnadillo,2007,7.0,221858,28.64,"['DNA Films', 'Figment Films', 'Sociedad General de Cine S.A.', 'UK Film Council', 'Fox Atomic', 'Koan Films']",,
263,About Time,Richard Curtis,2013,7.8,221600,15.29,"['Working Title Films', 'Translux']",,
264,Robin Hood,Ridley Scott,2010,6.7,221117,105.22,['Walt Disney Productions'],,
265,1408,Mikael Håfström,2007,6.8,221073,71.98,"['The Weinstein Company', 'Di Bonaventura Pictures', 'Dimension Films']",,
266,John Carter,Andrew Stanton,2012,6.6,220667,73.06,['Walt Disney Pictures'],,
267,Stardust,Matthew Vaughn,2007,7.7,220664,38.35,"['Paramount Pictures', 'Ingenious Film Partners', 'Di Bonaventura Pictures', 'Marv Films', 'Vaughn Productions']",,
268,Death Proof,Quentin Tarantino,2007,7.1,220236,,"['The Weinstein Company', 'Dimension Films', 'Troublemaker Studios', 'Rodriguez International Pictures']",,
269,Insidious,James Wan,2010,6.8,219916,53.99,"['Alliance Films', 'IM Global', 'Stage 6 Films', 'Haunted Movies']",,
270,The A-Team,Joe Carnahan,2010,6.8,219116,77.21,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Scott Free Productions', 'Top Cow Productions', 'Stephen J. Cannell Productions', 'Big Screen Productions', 'Phoenix Film Partners']",,
271,Lone Survivor,Peter Berg,2013,7.5,218996,125.07,"['Universal Pictures', 'Weed Road Pictures', 'Herrick Entertainment', 'Leverage Management', 'Closest to the Hole Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation', 'Film 44', 'Foresight Unlimited', 'Hollywood Studios International', 'Spikings Entertainment']",,
272,Unknown,Jaume Collet-Serra,2011,6.9,218679,61.09,"['Studio Babelsberg', 'StudioCanal', 'Dark Castle Entertainment', 'TF1 Films Production', 'Canal+', 'Panda Productions Inc.', 'Horticus UK']",,
273,Bridge of Spies,Steven Spielberg,2015,7.6,217938,72.31,"['DreamWorks SKG', 'Amblin Entertainment', 'Studio Babelsberg', 'Fox 2000 Pictures', 'Marc Platt Productions', 'Participant Media', 'Reliance Entertainment', 'TSG Entertainment']",,2
274,Fast & Furious,Justin Lin,2009,6.6,217464,155.02,"['Universal Pictures', 'Original Film', 'One Race Productions', 'Dentsu Inc.', 'Relativity Media']",,
275,Hellboy II: The Golden Army,Guillermo del Toro,2008,7.0,216932,75.75,"['Universal Pictures', 'Dark Horse Entertainment', 'Lawrence Gordon Productions', 'Mid Atlantic Films', 'Relativity Media', 'Internationale Filmproduktion Eagle']",,1
276,Olympus Has Fallen,Antoine Fuqua,2013,6.5,214994,98.9,"['Nu Image Films', 'Millennium Films']",,
277,Kick-Ass 2,Jeff Wadlow,2013,6.6,214825,28.75,"['Universal Pictures', 'Marv Films']",,
278,Dredd,Pete Travis,2012,7.1,213764,13.4,"['DNA Films', 'Reliance BIG Entertainment', 'IM Global', 'Rena Film', 'Peach Trees']",,
279,Hacksaw Ridge,Mel Gibson,2016,8.2,211760,67.12,"['Icon Productions', 'Permut Presentations', 'Pandemonium', 'Cross Creek Pictures', 'Vendian Entertainment', 'Demarest Media']",,1
280,The Descendants,Alexander Payne,2011,7.3,211348,82.62,"['Fox Searchlight Pictures', 'Dune Entertainment', 'Ad Hominem Enterprises']",,
281,Total Recall,Len Wiseman,2012,6.3,210965,58.88,"['TriStar Pictures', 'Carolco Pictures', 'Carolco International N.V.']",,
282,Battleship,Peter Berg,2012,5.8,210349,65.17,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",,
283,Noah,Darren Aronofsky,2014,5.8,209700,101.16,[],,
284,Dark Shadows,Tim Burton,2012,6.2,209326,79.71,"['Village Roadshow Pictures', 'Infinitum Nihil', 'GK Films', 'Warner Bros.', 'Tim Burton Productions', 'Dan Curtis Productions', 'Zanuck Company, The']",,
285,Vicky Cristina Barcelona,Woody Allen,2008,7.1,208770,23.21,"['The Weinstein Company', 'Gravier Productions', 'Antena 3 Films', 'Televisió de Catalunya (TV3)', 'Antena 3 Televisión', 'Mediapro']",,1
286,The Adjustment Bureau,George Nolfi,2011,7.1,208632,62.45,"['Universal Pictures', 'Media Rights Capital', 'Gambit Pictures', 'Electric Shepherd Productions']",,
287,Lincoln,Steven Spielberg,2012,7.4,207497,182.2,"['DreamWorks', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'The Kennedy/Marshall Company', 'Participant Media', 'Reliance Entertainment']",,2
288,Changeling,Clint Eastwood,2008,7.8,206793,35.71,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",,2
289,Gone Baby Gone,Ben Affleck,2007,7.7,206707,20.3,"['Miramax Films', 'The Ladd Company']",,
290,Terminator Genisys,Alan Taylor,2015,6.5,205365,89.73,"['Paramount Pictures', 'Annapurna Pictures', 'Skydance Media']",,
291,Sucker Punch,Zack Snyder,2011,6.1,204874,36.38,"['Legendary Pictures', 'Warner Bros.', 'Lennox House Films', 'Cruel and Unusual Films']",,
292,The Man from U.N.C.L.E.,Guy Ritchie,2015,7.3,202973,45.43,"['Davis Entertainment', 'Warner Bros.', 'Wigram Productions', 'RatPac-Dune Entertainment']",,
293,Atonement,Joe Wright,2007,7.8,202890,50.92,"['Universal Pictures', 'Studio Canal', 'Relativity Media', 'Working Title Films']",,
294,I Am Number Four,D.J. Caruso,2011,6.1,202682,55.09,"['DreamWorks SKG', 'Reliance BIG Entertainment', 'Bay Films', 'Touchstone Pictures']",,
295,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,2015,6.6,202380,281.67,"['Studio Babelsberg', 'Lionsgate', 'Color Force']",,
296,Paul,Greg Mottola,2011,7.0,201707,37.37,"['Universal Pictures', 'Big Talk Productions', 'Relativity Media', 'Working Title Films']",,
297,The Place Beyond the Pines,Derek Cianfrance,2012,7.3,200090,21.38,"['Sidney Kimmel Entertainment', 'Electric City Entertainment', 'Verisimilitude']",,
298,Don Jon,Joseph Gordon-Levitt,2013,6.6,199973,24.48,"['Voltage Pictures', 'Ram Bergman Productions', 'HitRecord Films']",,
299,The Other Guys,Adam McKay,2010,6.7,199900,119.22,"['Columbia Pictures', 'Gary Sanchez Productions']",,
300,Sunshine,Danny Boyle,2007,7.3,199860,3.68,"['DNA Films', 'Ingenious Film Partners', 'UK Film Council', 'Moving Picture Company (MPC)']",,1
301,The World's End,Edgar Wright,2013,7.0,199813,26.0,"['Universal Pictures', 'Big Talk Productions', 'Focus Features', 'Working Title Films']",,
302,Perfume: The Story of a Murderer,Tom Tykwer,2006,7.5,199387,2.21,"['Davis-Films', 'Nouvelles Éditions de Films (NEF)', 'Rising Star', 'VIP Medienfonds 4', 'Ikiru Films', 'Constantin Film Produktion', 'Castelao Producciones']",,
303,The Fountain,Darren Aronofsky,2006,7.3,199193,10.14,"['Regency Enterprises', 'Warner Bros.', 'Muse Entertainment Enterprises', 'Protozoa Pictures', 'New Regency Pictures']",,
304,Snowpiercer,Bong Joon Ho,2013,7.0,199048,4.56,"['CJ Entertainment', 'Opus Pictures', 'Stillking Films', 'SnowPiercer', 'Moho Film']",,
305,21,Robert Luketic,2008,6.8,198395,81.16,"['Columbia Pictures', 'Relativity Media']",,
306,The Jungle Book,Jon Favreau,2016,7.5,198243,364.0,['Walt Disney Pictures'],,
307,Eastern Promises,David Cronenberg,2007,7.7,198006,17.11,"['BBC Films', 'Serendipity Point Films', 'Téléfilm Canada', 'Astral Media', 'Scion Films', 'Focus Features', 'Corus Entertainment', 'Shine Pictures', 'Kudos Film and Television']",,
308,Seven Psychopaths,Martin McDonagh,2012,7.2,196652,14.99,"['Blueprint Pictures', 'CBS Films', 'British Film Institute (BFI)', 'Film4']",,
309,Lawless,John Hillcoat,2012,7.3,195360,37.4,"['The Weinstein Company', 'Benaroya Pictures', 'Yucaipa Films', 'Annapurna Pictures', 'Pie Films Inc.', 'Red Wagon Entertainment', 'Revolt Films', 'Blum Hanson Allen Films']",,
310,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012,5.5,194329,292.3,"['Summit Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']",,
311,Ender's Game,Gavin Hood,2013,6.7,194236,61.66,"['Summit Entertainment', 'Chartoff Productions', 'Odd Lot Entertainment', 'K/O Paper Products', 'Digital Domain', 'Taleswapper']",,
312,Warm Bodies,Jonathan Levine,2013,6.9,193579,66.36,['Summit Entertainment'],,
313,Disturbia,D.J. Caruso,2007,6.9,193491,80.05,"['Paramount Pictures', 'DreamWorks SKG', 'Cold Spring Pictures', 'Montecito Picture Company, The']",,
314,The Fast and the Furious: Tokyo Drift,Justin Lin,2006,6.0,193479,62.49,['Universal Pictures'],,
315,10 Cloverfield Lane,Dan Trachtenberg,2016,7.2,192968,71.9,"['Paramount Pictures', 'Bad Robot', 'Spectrum Effects']",,
316,The Twilight Saga: Eclipse,David Slade,2010,4.9,192740,300.52,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']",,
317,End of Watch,David Ayer,2012,7.7,192190,40.98,"['Emmett/Furla Films', 'Exclusive Media Group', 'Hedge Fund Film Partners', 'Crave Films', 'Knightsbridge Entertainment', 'Le Grisbi Productions', '5150 Action']",,
318,Passengers,Morten Tyldum,2016,7.0,192177,100.01,"['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Company Films', 'Start Motion Pictures', 'LStar Capital', 'Wanda Pictures']",,
319,The Lone Ranger,Gore Verbinski,2013,6.5,190855,89.29,['Wrather Productions'],,
320,RoboCop,José Padilha,2014,6.2,190833,58.61,['Orion Pictures'],,
321,Ghost Rider,Mark Steven Johnson,2007,5.2,190673,115.8,"['Columbia Pictures Corporation', 'Relativity Media', 'Michael De Luca Productions', 'Marvel Enterprises', 'Crystal Sky Pictures', 'GH One', 'Vengeance Productions Pty. Ltd.']",,
322,Grown Ups,Dennis Dugan,2010,6.0,190385,162.0,"['Columbia Pictures', 'Happy Madison Productions', 'Relativity Media']",,
323,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,2011,4.9,190244,281.28,"['Summit Entertainment', 'Sunswept Entertainment', 'Total Entertainment', 'TSBD Canada Productions', 'Zohar International', 'Temple Hill Entertainment', 'TSBD Louisiana', 'TSBD Productions']",,
324,Chappie,Neill Blomkamp,2015,6.9,188769,31.57,"['Columbia Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)', 'Alpha Core', 'Genre Films', 'Simon Kinberg Productions', 'LStar Capital', 'Ollin Studio']",,
325,Spy,Paul Feig,2015,7.1,188017,110.82,"['Twentieth Century Fox Film Corporation', 'Chernin Entertainment', 'Feigco Entertainment']",,
326,Escape Plan,Mikael Håfström,2013,6.7,188004,25.12,"['Summit Entertainment', 'Atmosphere Entertainment MM', 'Emmett/Furla Films', 'Mark Canton Productions', 'Envision Entertainment', 'Boies / Schiller Film Group', 'Knightsbridge Entertainment']",,
327,Predestination,Michael Spierig,2014,7.5,187760,,"['Screen Australia', 'Screen Queensland', 'Blacklab Entertainment', 'Wolfhound Pictures']",,
328,Warcraft,Duncan Jones,2016,7.0,187547,47.17,"['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'Blizzard Entertainment']",,
329,The Road,John Hillcoat,2009,7.3,187302,0.06,"['Cactus Films', 'Schweizerische Radio- und Fernsehgesellschaft (SRG)', 'Antenne-2 (A2)', 'Güney Film']",,
330,Rambo,Sylvester Stallone,2008,7.1,187077,42.72,"['Nu Image Films', 'Lionsgate', 'Millennium Films', 'Emmett/Furla Films', 'Equity Pictures Medienfonds GmbH & Co. KG IV']",,
331,Contagion,Steven Soderbergh,2011,6.6,187004,75.64,"['Double Feature Films', 'Regency Enterprises', 'Warner Bros.', 'Participant Media', 'Imagenation Abu Dhabi FZ']",,1
332,Transcendence,Wally Pfister,2014,6.3,184564,23.01,"['Alcon Entertainment', 'Syncopy', 'DMG Entertainment', 'Straight Up Films']",,
333,Silent Hill,Christophe Gans,2006,6.6,184152,46.98,"['Silent Hill DCP Inc.', 'Davis-Films', 'TriStar Pictures', 'Konami']",,
334,Megamind,Tom McGrath,2010,7.3,183926,148.34,['DreamWorks Animation'],,
335,Body of Lies,Ridley Scott,2008,7.1,182305,39.38,"['Scott Free Productions', 'De Line Pictures', 'Warner Bros.']",,
336,Just Go with It,Dennis Dugan,2011,6.4,182069,103.03,"['Columbia Pictures', 'Happy Madison Productions']",,
337,Gangster Squad,Ruben Fleischer,2013,6.7,181432,46.0,"['Village Roadshow Pictures', 'Lin Pictures', 'Warner Bros.', 'Langley Park Production']",,
338,G.I. Joe: The Rise of Cobra,Stephen Sommers,2009,5.8,180105,150.17,"['Paramount Pictures', 'Spyglass Entertainment', 'Di Bonaventura Pictures', 'Hasbro', 'Kontsept Film Company']",,
339,Predators,Nimród Antal,2010,6.4,179450,52.0,"['Twentieth Century Fox Film Corporation', 'Davis Entertainment', 'Dune Entertainment III', 'Troublemaker Studios']",,
340,Teenage Mutant Ninja Turtles,Jonathan Liebesman,2014,5.9,178527,190.87,"['New Line Cinema', 'Golden Harvest Company']",,
341,American Reunion,Jon Hurwitz,2012,6.7,178471,56.72,['Universal Pictures'],,
342,No Strings Attached,Ivan Reitman,2011,6.2,178243,70.63,"['Katalyst Films', 'The Montecito Picture Company', 'Handsomecharlie Films']",,
343,Hachi: A Dog's Tale,Lasse Hallström,2009,8.1,177602,,"['Grand Army Entertainment', 'Scion Films', 'Inferno Distribution', 'Stage 6 Films', 'Hachiko', 'Opperman Viner Chrystyn Entertainment']",,
344,P.S. I Love You,Richard LaGravenese,2007,7.1,177247,53.68,"['Wendy Finerman Productions', 'Alcon Entertainment', 'Grosvenor Park Productions']",,
345,Creed,Ryan Coogler,2015,7.6,175673,109.71,"['New Line Cinema', 'Warner Bros.', 'Metro-Goldwyn-Mayer (MGM)', 'Chartoff Winkler Productions']",,
346,The Nice Guys,Shane Black,2016,7.4,175067,36.25,"['Silver Pictures', 'Warner Bros.', 'Waypoint Entertainment', 'Bloom', 'Nice Guys', 'Misty Mountains']",,
347,Planet Terror,Robert Rodriguez,2007,7.1,174553,,['Dimension Films'],,
348,Rio,Carlos Saldanha,2011,6.9,173919,143.62,"['Blue Sky Studios', 'Twentieth Century Fox Animation']",,
349,Death Race,Paul W.S. Anderson,2008,6.4,173731,36.06,"['Universal Pictures', 'Cruise/Wagner Productions', 'Impact Pictures', 'Relativity Media', 'Scion Films', 'H2S2 Filmproduktionsgesellschaft']",,
350,White House Down,Roland Emmerich,2013,6.4,173320,73.1,"['Columbia Pictures', 'Centropolis Entertainment', 'Iron Horse Entertainment (II)', 'Mythology Entertainment (II)']",,
